keys,en,id,jp
Text/2d/text,I need 5 of them,Aku membutuhkan 5,私はそれらの5つを必要とします
Text/2e/text,haven't found any of them yet,belum menemukan satupun sekarang,まだ見つかっていません
Text/2f/text,start looking at those rocks,coba untuk mencarinya di dekat bebatuan itu,それらの岩を見始める
Text/30/text,"aight, hold on i only got {croissants}","baiklah, sebentar aku hanya mendapatkan {croissants}",よし、ちょっと待って、俺しか手に入れない {croissants}
Text/31/text,"Sure, here they are...","tentu saja, ambilah...",確かに、ここにあります...
Text/32/text,"Great, thanks","Mantap, terimakasih",すごい、ありがとう
Text/33/text,thanks??,terimakasih??,ありがとう??
Text/34/text,yea! thanks,yap! terimakasih,はい！ありがとう
Text/35/text,[color=red]OH CMON!,[color=red]OH AYOLAH,[color=red]お願いだから
Text/36/text,WHAT?!,APA?!,何?!
Text/37/text,you have promised to help me,kamu sudah janji padaku,あなたは私を助けると約束しました
Text/38/text,really? alright,benarkah? yasudah,ほんとですか? 了解致しました
Text/39/text,"okay, now what?","oke, sekarang apa?",さて、次は何をしますか?
Text/3a/text,Congratulations {playerName}. you have passed the test,Selamat {playerName}. Kamu berhasil melewati ujiannya,おめでとう {playerName}. テストに合格しました
Text/3b/text,the test of what?,ujian apa?,何のテスト?
Text/3c/text,the test of yourself,ujian diri,自分自身の試練
Text/3d/text,what is that supposed to mean,apa maksud dari semua ini?,それはどういう意味ですか
Text/3e/text,"you've lost againts the barbarian, maybe the i'm a bit familiar to you?","kamu telah dikalahkan oleh seorang barbarian, mungkin apa kamu tidak terlalu asing dengan penampilanku?",蛮族に負けたのだから、ちょっと馴染みがあるかも?
Text/3f/text,you're the one who beats me aren't you?,"kamulah yang telah mengalahkanku, kan?",俺を倒すのはお前だろ?
Text/40/text,"yes, but im not him. I'm you","tepat, tapi aku bukan dia, aku adalah kamu",ええ、しかし私は彼ではありません。私はあなたです
Text/41/text,HUH? alright that's too much to fit in my head,HAH? oke itu terlalu rumit untuk kepalaku,えっ。さてさて、それは私の頭に収まりきらないほどです
Text/42/text,"I'm your imagination, this world is you","aku adalah imajinasimu, dunia ini adalah dirimu",私はあなたの想像力、この世界はあなたです
Text/43/text,"I get it, and why do i make those test","aku mengerti, tapi mengapa aku membuat ujian itu?",私はそれを手に入れました、そしてなぜ私はそれらのテストをするのですか
Text/44/text,"your soul wants you to believe in yourself more, you're gifted {playerName}","jiwamu ingin kamu lebih percaya pada dirimu, kamu itu diberkahi",あなたの魂はあなたにもっと自分を信じてほしいと願っています、あなたは {playerName} に恵まれています
Text/45/text,so I passed my own test yea?,"jadi, aku lulus ujianku sendiri, kan?",それで私は自分のテストに合格しましたね?
Text/46/text,"that's right, do you want me to explain what was the quest for?","tepat, apa kamu ingin aku menjelaskan untuk apa permintaanku yang tadi?",そうです、クエストが何のためにあったのか説明してほしいですか?
Text/47/text,mhmm... sure,"hmm.., tentu saja",うーん...もちろん
Text/48/text,finding a sword means toughness,"mencari pedang, berarti ketangguhan",剣を見つけることはタフネスを意味します
Text/49/text,wiping out dummys means braveness,"menghancurkan boneka-boneka itu, berarti keberanian",人形を一掃することは勇敢さを意味します
Text/4a/text,collecting foods means humbleness,"mengumpulkan makanan, berarti kerendahan hati",食べ物を集めることは謙虚さを意味します
Text/4b/text,now if you want to get out...,sekarang apabila kamu ingin keluar...,今、あなたが外に出たいのなら...
Text/4c/text,you must reach the [b]symbol of power[/b],kamu harus mencapai [b]Simbol dari kekuatan[/b],あなたは[b]力の象徴にたどり着かなければなりません[/ b]
Text/4d/text,what is that?,apa itu?,あれは、何ですか?
Text/4e/text,that's your problem,itu masalahmu,それはあなたの問題です
